0, 2, 23
0, 27, 36
1, 12, 0
1, 12, 2
1, 12, 3
1, 12, 4
1, 12, 5
1, 12, 6
1, 12, 7
1, 12, 9
1, 12, 11
1, 12, 13
1, 12, 14
1, 12, 16
1, 12, 17
1, 12, 19
1, 12, 20
1, 12, 22
1, 12, 23
1, 12, 24
1, 12, 25
1, 12, 26
1, 12, 28
1, 12, 29
1, 12, 30
1, 12, 31
1, 12, 32
1, 12, 33
1, 12, 34
1, 12, 35
1, 12, 36
1, 12, 38
1, 12, 39
1, 18, 37
2, 8, 0
2, 8, 4
2, 8, 18
2, 8, 25
2, 21, 1
2, 21, 5
2, 21, 7
2, 21, 10
2, 21, 14
2, 21, 15
2, 21, 16
2, 21, 20
2, 21, 31
2, 21, 32
2, 21, 34
2, 21, 36
2, 3, 26
2, 3, 28
2, 3, 29
2, 3, 35
2, 39, 6
2, 39, 9
2, 39, 11
2, 39, 12
2, 39, 13
2, 39, 22
2, 39, 30
2, 39, 37
2, 39, 38
2, 24, 27
2, 24, 33
3, 29, 1
3, 29, 4
3, 29, 6
3, 29, 10
3, 29, 11
3, 29, 14
3, 29, 21
3, 29, 25
3, 29, 26
3, 29, 28
3, 33, 2
3, 33, 12
3, 33, 18
3, 33, 23
3, 33, 24
3, 35, 3
3, 35, 9
3, 35, 30
3, 35, 34
3, 35, 38
3, 5, 36
3, 8, 7
3, 8, 15
3, 8, 32
3, 8, 37
3, 8, 39
3, 17, 31
4, 4, 0
4, 4, 12
4, 4, 35
4, 1, 15
4, 2, 29
4, 6, 28
4, 34, 7
4, 34, 10
4, 34, 16
4, 34, 17
4, 34, 36
4, 8, 39
4, 14, 20
4, 14, 27
4, 21, 24
4, 23, 38
5, 18, 0
5, 18, 1
5, 18, 16
5, 3, 26
5, 7, 8
5, 37, 10
5, 37, 14
5, 37, 19
5, 29, 12
5, 29, 17
6, 0, 28
6, 3, 23
6, 5, 29
6, 13, 25
6, 15, 30
6, 19, 21
7, 0, 36
7, 1, 10
7, 3, 4
7, 5, 17
7, 19, 39
7, 38, 25
7, 38, 29
7, 38, 31
8, 5, 12
8, 5, 28
8, 7, 17
8, 18, 10
8, 18, 32
8, 18, 37
8, 21, 39
9, 7, 0
9, 7, 27
9, 2, 11
9, 4, 36
9, 5, 20
9, 32, 6
9, 32, 22
9, 32, 39
9, 10, 18
9, 12, 28
9, 16, 37
9, 19, 31
10, 5, 4
10, 5, 11
10, 5, 28
10, 5, 30
10, 5, 32
10, 5, 34
10, 5, 37
10, 6, 20
11, 28, 4
11, 28, 10
11, 28, 23
11, 28, 25
11, 28, 37
11, 27, 9
11, 27, 20
11, 14, 19
11, 22, 24
12, 1, 0
12, 1, 20
12, 1, 31
12, 2, 17
12, 14, 6
12, 14, 9
12, 14, 12
12, 14, 36
12, 7, 24
12, 16, 22
13, 36, 1
13, 36, 7
13, 36, 21
13, 12, 4
13, 12, 13
13, 12, 23
13, 12, 34
13, 12, 37
13, 8, 11
14, 18, 3
14, 18, 14
14, 21, 6
14, 21, 15
14, 30, 39
15, 20, 11
15, 20, 23
15, 27, 19
15, 27, 29
15, 27, 34
15, 27, 37
16, 2, 6
16, 17, 5
16, 17, 15
16, 17, 29
17, 16, 36
17, 19, 23
17, 19, 31
18, 14, 26
18, 14, 28
19, 32, 26
19, 32, 30
20, 26, 28
20, 33, 35
21, 10, 2
21, 10, 15
22, 9, 29
22, 9, 34
23, 14, 15
23, 32, 33
24, 29, 7
24, 29, 11
25, 2, 7
25, 38, 39
26, 6, 24
26, 6, 26
27, 30, 9
27, 30, 14
27, 13, 29
28, 18, 4
28, 18, 36
29, 21, 36
29, 38, 39
30, 31, 10
30, 31, 12
30, 31, 34
30, 16, 14
30, 16, 19
30, 16, 21
30, 16, 35
31, 6, 3
31, 6, 21
31, 6, 24
31, 6, 25
31, 6, 27
31, 6, 30
31, 6, 31
31, 6, 36
31, 6, 39
31, 28, 9
31, 28, 14
31, 28, 16
31, 28, 17
31, 28, 18
31, 28, 20
31, 28, 29
32, 2, 22
32, 11, 3
32, 11, 12
32, 11, 17
32, 11, 18
32, 11, 20
32, 11, 24
32, 11, 26
32, 11, 32
32, 11, 38
32, 4, 19
32, 8, 5
32, 8, 15
32, 35, 27
32, 35, 39
33, 32, 2
33, 32, 4
33, 32, 7
33, 32, 8
33, 32, 10
33, 32, 17
33, 32, 18
33, 32, 22
33, 32, 27
33, 32, 28
33, 32, 30
33, 32, 34
33, 32, 37
33, 32, 38
33, 32, 39
33, 6, 31
34, 28, 1
34, 28, 2
34, 28, 4
34, 28, 6
34, 28, 8
34, 28, 9
34, 28, 10
34, 28, 11
34, 28, 14
34, 28, 20
34, 28, 23
34, 28, 27
34, 28, 29
34, 28, 30
34, 28, 31
34, 28, 32
34, 28, 33
34, 28, 34
34, 28, 36
34, 28, 38
34, 5, 7
34, 21, 13
34, 21, 26
35, 30, 0
35, 30, 4
35, 30, 5
35, 30, 6
35, 30, 10
35, 30, 13
35, 30, 20
35, 30, 22
35, 30, 25
35, 30, 27
35, 30, 34
35, 30, 36
35, 30, 37
35, 30, 39
35, 9, 23
35, 9, 29
35, 12, 21
35, 14, 16
35, 35, 17
35, 35, 18
36, 10, 0
36, 10, 2
36, 10, 3
36, 10, 6
36, 10, 7
36, 10, 11
36, 10, 13
36, 10, 16
36, 10, 17
36, 10, 18
36, 10, 20
36, 10, 21
36, 10, 24
36, 10, 26
36, 10, 29
36, 10, 30
36, 10, 31
36, 10, 32
36, 10, 34
36, 10, 37
36, 10, 38
36, 1, 19
36, 9, 36
36, 28, 35
37, 18, 0
37, 18, 6
37, 18, 16
37, 19, 1
37, 19, 2
37, 19, 3
37, 19, 4
37, 19, 5
37, 19, 7
37, 19, 9
37, 19, 13
37, 19, 14
37, 19, 15
37, 19, 17
37, 19, 21
37, 19, 22
37, 19, 24
37, 19, 26
37, 19, 27
37, 19, 29
37, 19, 30
37, 19, 31
37, 19, 32
37, 19, 34
37, 19, 35
37, 19, 37
37, 19, 38
37, 12, 8
37, 12, 39
37, 11, 23
37, 20, 28
38, 14, 1
38, 14, 2
38, 14, 3
38, 14, 4
38, 14, 6
38, 14, 7
38, 14, 8
38, 14, 9
38, 14, 10
38, 14, 11
38, 14, 12
38, 14, 15
38, 14, 16
38, 14, 18
38, 14, 20
38, 14, 22
38, 14, 23
38, 14, 24
38, 14, 26
38, 14, 27
38, 14, 28
38, 14, 30
38, 14, 31
38, 14, 33
38, 14, 34
38, 14, 35
38, 14, 36
38, 14, 37
38, 14, 39
38, 5, 19
38, 17, 25
38, 17, 32
39, 32, 0
39, 32, 26
39, 9, 36
