0, 17, 34
0, 27, 36
1, 35, 0
1, 35, 2
1, 35, 3
1, 35, 4
1, 35, 5
1, 35, 6
1, 35, 7
1, 35, 8
1, 35, 11
1, 35, 12
1, 35, 13
1, 35, 14
1, 35, 15
1, 35, 17
1, 35, 19
1, 35, 20
1, 35, 22
1, 35, 24
1, 35, 25
1, 35, 27
1, 35, 28
1, 35, 29
1, 35, 30
1, 35, 32
1, 35, 33
1, 35, 34
1, 35, 38
1, 1, 21
1, 36, 9
1, 36, 10
1, 36, 16
1, 36, 23
1, 36, 26
1, 36, 31
1, 36, 39
1, 18, 37
2, 12, 0
2, 12, 1
2, 12, 3
2, 12, 4
2, 12, 5
2, 12, 6
2, 12, 7
2, 12, 8
2, 12, 9
2, 12, 10
2, 12, 11
2, 12, 13
2, 12, 14
2, 12, 15
2, 12, 16
2, 12, 18
2, 12, 19
2, 12, 20
2, 12, 21
2, 12, 22
2, 12, 24
2, 12, 25
2, 12, 26
2, 12, 27
2, 12, 28
2, 12, 29
2, 12, 30
2, 12, 31
2, 12, 32
2, 12, 33
2, 12, 34
2, 12, 35
2, 12, 36
2, 12, 37
2, 12, 38
2, 12, 39
2, 2, 17
3, 39, 0
3, 39, 1
3, 39, 2
3, 39, 3
3, 39, 6
3, 39, 7
3, 39, 8
3, 39, 9
3, 39, 13
3, 39, 14
3, 39, 16
3, 39, 18
3, 39, 21
3, 39, 22
3, 39, 23
3, 39, 25
3, 39, 28
3, 39, 29
3, 39, 30
3, 39, 31
3, 39, 32
3, 39, 33
3, 39, 34
3, 39, 35
3, 39, 37
3, 39, 38
3, 4, 10
3, 4, 11
3, 4, 15
3, 4, 20
3, 24, 5
3, 24, 12
3, 24, 17
3, 24, 36
3, 27, 19
3, 27, 26
4, 17, 0
4, 17, 4
4, 17, 8
4, 17, 23
4, 17, 34
4, 17, 36
4, 15, 1
4, 15, 9
4, 15, 13
4, 15, 16
4, 15, 28
4, 15, 31
4, 15, 32
4, 10, 2
4, 10, 3
4, 10, 5
4, 10, 6
4, 10, 22
4, 10, 24
4, 10, 30
4, 10, 33
4, 10, 38
4, 10, 39
4, 11, 7
4, 11, 12
4, 11, 14
4, 11, 18
4, 11, 19
4, 11, 20
4, 11, 27
4, 11, 29
4, 21, 26
5, 8, 0
5, 8, 1
5, 8, 3
5, 8, 4
5, 8, 7
5, 8, 16
5, 8, 18
5, 8, 25
5, 8, 26
5, 39, 5
5, 39, 9
5, 39, 12
5, 39, 13
5, 39, 14
5, 39, 17
5, 10, 37
5, 19, 11
5, 19, 15
5, 19, 22
5, 19, 23
5, 19, 27
5, 19, 36
5, 21, 34
5, 29, 28
5, 29, 31
5, 30, 38
6, 3, 0
6, 3, 7
6, 3, 21
6, 3, 25
6, 3, 28
6, 19, 1
6, 19, 8
6, 19, 22
6, 19, 27
6, 19, 34
6, 19, 39
6, 29, 2
6, 29, 5
6, 29, 15
6, 29, 30
6, 10, 16
6, 11, 36
6, 13, 12
6, 13, 18
6, 13, 24
7, 38, 0
7, 38, 25
7, 38, 31
7, 38, 39
7, 17, 1
7, 17, 10
7, 17, 19
7, 17, 24
7, 17, 30
7, 17, 36
7, 3, 4
7, 11, 5
7, 11, 14
7, 11, 21
7, 8, 28
7, 9, 16
7, 18, 20
7, 23, 35
8, 7, 0
8, 7, 10
8, 7, 14
8, 7, 15
8, 7, 19
8, 7, 23
8, 28, 2
8, 28, 12
8, 28, 37
8, 28, 39
8, 3, 36
8, 21, 5
8, 21, 16
8, 21, 17
8, 21, 18
8, 21, 20
8, 21, 24
8, 21, 27
8, 21, 32
8, 21, 34
8, 21, 38
8, 13, 25
9, 0, 2
9, 0, 4
9, 0, 5
9, 0, 9
9, 0, 13
9, 0, 16
9, 0, 18
9, 0, 22
9, 0, 27
9, 0, 28
9, 0, 29
9, 0, 31
9, 0, 32
9, 0, 33
9, 0, 36
9, 0, 39
9, 10, 6
9, 10, 21
9, 10, 37
9, 7, 30
9, 24, 8
9, 24, 11
9, 24, 12
9, 24, 19
9, 24, 34
10, 36, 1
10, 36, 4
10, 36, 5
10, 36, 7
10, 36, 9
10, 36, 10
10, 36, 11
10, 36, 12
10, 36, 13
10, 36, 18
10, 36, 19
10, 36, 20
10, 36, 22
10, 36, 23
10, 36, 25
10, 36, 27
10, 36, 28
10, 36, 29
10, 36, 30
10, 36, 31
10, 36, 32
10, 36, 33
10, 36, 34
10, 36, 37
10, 6, 8
10, 6, 24
11, 30, 1
11, 30, 3
11, 30, 4
11, 30, 6
11, 30, 10
11, 30, 11
11, 30, 12
11, 30, 13
11, 30, 14
11, 30, 19
11, 30, 20
11, 30, 21
11, 30, 22
11, 30, 23
11, 30, 24
11, 30, 25
11, 30, 27
11, 30, 28
11, 30, 37
11, 30, 38
11, 2, 7
11, 31, 15
11, 31, 39
11, 29, 36
