"Question: Which of the following materials would best slow the transfer of heat?
        A. aluminum
        B. copper
        C. glass
        D. wood
        Answer:"	Mercury_SC_LBS10605
"Question: In which environment is white fur color an advantage for survival?
        A. desert
        B. grassland
        C. arctic tundra
        D. temperate forest
        Answer:"	OHAT_2007_8_23
"Question: The mathematical model for calculating speed is shown below. Speed = distance/time. An airplane traveled 700 kilometers in two hours during a trip. What was the average speed of the plane during the trip?
        A. 5.8 kilometers per hour
        B. 350 kilometers per hour
        C. 1400 kilometers per hour
        D. 84,000 kilometers per hour
        Answer:"	Mercury_411712
"Question: The aloe plant can absorb a lot of water during a rain shower. The extra water is stored in its leaves. The ability to store water in its leaves is most likely an adaptation to which type of environment?
        A. one near the ocean
        B. one with dry conditions
        C. one with a variety of organisms
        D. one that receives a lot of sunlight
        Answer:"	Mercury_SC_410872
"Question: Near Earth's equator, water generally exists naturally in the liquid and gas states. In which other part of Earth is water usually found naturally in only two states?
        A. Indian Ocean
        B. interior of Africa
        C. South Pole
        D. Tropic of Cancer
        Answer:"	Mercury_7218645
"Question: Magnesium strips are long, thin strips that are gray and shiny. Which action will lead to a chemical change of magnesium strips?
        A. putting them in the freezer
        B. burning them with a candle
        C. cutting them into small pieces
        D. mixing them with pieces of copper
        Answer:"	Mercury_7186078
"Question: A solution of lead (II) nitrate reacts with a solution of sodium iodide to produce a yellow solid of lead (II) iodide and aqueous sodium nitrate. Which of these illustrates the reaction?
        A. Pb(NO_{3})_{2}(aq) + 2NaI(aq) -> PbI_{2}(s) + 2NaNO_{3}(aq)
        B. L_{2}N(aq) + SI(aq) -> L_{2}I(s) + SN(aq)
        C. Pb_{2}N(aq) + NaI(aq) -> Pb_{2}I(s) NaN(aq)
        D. Fe(NO_{3})_{2}(aq) + 2NaI(aq) -> FeI_{2} + 2NaNO_{3}(aq)
        Answer:"	Mercury_402217
"Question: The stages in the life cycle of an organism are shown below. birth -> growth -> development -> reproduction -> death In which life cycle stage will a new organism be made?
        A. growth
        B. development
        C. reproduction
        D. death
        Answer:"	MCAS_2016_5_12
"Question: A city has an outbreak of a disease that affects an unusually large portion of its population at the same time. Which term best describes the outbreak?
        A. pandemic
        B. plague
        C. epidemic
        D. infection
        Answer:"	Mercury_7283815
"Question: Which technique will researchers studying the inheritance patterns of various disorders most likely use?
        A. cladogram
        B. DNA fingerprinting
        C. gel electrophoresis
        D. chromosomal analysis
        Answer:"	Mercury_7228638
