0, 17, 34
0, 27, 36
1, 14, 0
1, 14, 2
1, 14, 3
1, 14, 4
1, 14, 5
1, 14, 6
1, 14, 8
1, 14, 9
1, 14, 12
1, 14, 13
1, 14, 16
1, 14, 17
1, 14, 19
1, 14, 20
1, 14, 22
1, 14, 23
1, 14, 24
1, 14, 25
1, 14, 26
1, 14, 28
1, 14, 29
1, 14, 30
1, 14, 31
1, 14, 32
1, 14, 33
1, 14, 34
1, 14, 35
1, 14, 36
1, 14, 38
1, 14, 39
1, 7, 11
1, 18, 37
2, 30, 0
2, 30, 8
2, 30, 11
2, 30, 12
2, 30, 13
2, 30, 18
2, 30, 22
2, 30, 25
2, 30, 32
2, 30, 38
2, 30, 39
2, 5, 1
2, 5, 3
2, 5, 6
2, 5, 9
2, 5, 15
2, 5, 31
2, 5, 33
2, 5, 35
2, 5, 37
2, 7, 14
2, 7, 16
2, 7, 24
2, 7, 26
2, 7, 28
2, 10, 20
2, 10, 21
2, 10, 29
2, 10, 34
2, 10, 36
2, 19, 27
3, 1, 11
3, 2, 6
3, 16, 3
3, 16, 9
3, 16, 22
3, 16, 33
3, 16, 34
3, 16, 35
3, 39, 4
3, 39, 5
3, 39, 10
3, 39, 17
3, 39, 20
3, 39, 21
3, 39, 31
3, 8, 7
3, 8, 37
3, 8, 38
3, 12, 24
3, 12, 27
3, 12, 36
3, 14, 25
3, 14, 26
3, 14, 32
3, 28, 15
3, 28, 29
3, 18, 23
4, 0, 24
4, 0, 28
4, 1, 23
4, 38, 2
4, 38, 6
4, 27, 4
4, 27, 12
4, 27, 16
4, 27, 20
4, 7, 26
4, 10, 29
4, 10, 39
4, 14, 19
4, 17, 34
4, 22, 35
4, 30, 33
5, 8, 0
5, 8, 18
5, 8, 19
5, 8, 23
5, 1, 16
5, 3, 14
5, 12, 25
5, 12, 29
5, 12, 39
5, 13, 27
6, 0, 3
6, 2, 29
6, 7, 34
6, 12, 22
6, 19, 13
6, 19, 39
7, 0, 20
7, 1, 30
7, 5, 21
7, 10, 17
7, 10, 31
7, 10, 32
7, 11, 14
7, 25, 38
8, 5, 10
8, 7, 14
8, 7, 15
8, 12, 37
8, 17, 24
8, 21, 18
8, 21, 32
9, 0, 5
9, 27, 4
9, 27, 36
9, 7, 28
9, 7, 29
9, 11, 8
9, 11, 19
9, 11, 22
9, 11, 32
9, 16, 24
9, 31, 18
9, 31, 33
10, 24, 4
10, 24, 31
10, 36, 5
10, 36, 11
10, 36, 28
10, 36, 30
10, 6, 12
10, 22, 27
11, 27, 1
11, 27, 20
11, 25, 4
11, 25, 10
11, 25, 28
11, 7, 23
11, 12, 24
11, 37, 19
11, 37, 21
12, 2, 1
12, 2, 7
12, 2, 20
12, 2, 24
12, 2, 39
12, 3, 17
12, 14, 9
12, 14, 36
12, 16, 22
12, 16, 38
13, 1, 3
13, 34, 11
13, 34, 12
13, 34, 24
13, 34, 25
13, 34, 26
13, 34, 31
13, 34, 36
13, 34, 37
14, 4, 16
14, 30, 5
14, 30, 39
14, 21, 12
14, 21, 26
15, 7, 20
15, 7, 25
15, 7, 28
15, 8, 13
15, 23, 27
15, 29, 37
16, 17, 4
16, 17, 15
16, 17, 39
16, 18, 32
17, 36, 5
17, 36, 16
17, 36, 19
18, 29, 10
18, 29, 36
19, 15, 16
19, 15, 17
20, 1, 26
20, 9, 37
21, 10, 12
21, 23, 36
22, 26, 30
22, 26, 34
23, 3, 6
23, 24, 27
24, 21, 24
24, 21, 32
25, 7, 2
25, 7, 39
26, 6, 5
26, 6, 9
27, 29, 9
27, 29, 13
27, 29, 14
28, 18, 17
28, 18, 27
29, 15, 39
29, 35, 36
30, 31, 3
30, 31, 14
30, 31, 19
30, 31, 34
30, 31, 36
30, 12, 37
30, 13, 22
31, 18, 3
31, 18, 6
31, 18, 9
31, 18, 10
31, 18, 15
31, 18, 16
31, 18, 19
31, 18, 20
31, 18, 21
31, 18, 24
31, 18, 27
31, 18, 28
31, 18, 30
31, 18, 31
31, 18, 36
31, 18, 39
32, 1, 5
32, 11, 2
32, 11, 15
32, 11, 17
32, 11, 27
32, 11, 30
32, 11, 32
32, 11, 38
32, 11, 39
32, 3, 26
32, 3, 31
32, 8, 14
32, 12, 35
32, 13, 18
32, 13, 19
33, 22, 2
33, 22, 4
33, 22, 6
33, 22, 7
33, 22, 8
33, 22, 10
33, 22, 17
33, 22, 28
